"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-276","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Light green","Green purple","2","Medium (15-20cm)","Short","Present","Irregular",4,2,1.6,0.8,1.2,0.6,2.8,1.4,1,40.6,IV
"TMe-289","Light green","Medium","Green purple","Central part","<25% leaf retention","0","Cream","0","No branching","Light green","Dark green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,0.5,0.4,0.2,0.6,0.3,1,0.5,0,29,II
"TMe-290","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","White","4","450-600","Green purple","Light green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",16,3.2,4.6,0.92,6.4,1.28,11,2.2,4,38.3,I
"TMe-294","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","2","150-300","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",10,2,0.4,0.08,2,0.4,2.4,0.48,3,34.3,V
"TMe-298","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","2","150-300","Dark green","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",2,1,0.2,0.1,1,0.5,1.2,0.6,0,42.1,IV
"TMe-299","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","Cream","5","150-300","Green purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,5.66666666666667,6.6,2.2,14.2,4.73333333333333,20.8,6.93333333333333,2,37.1,I
"TMe-300","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","1","150-300","Purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",11,3.66666666666667,1.6,0.533333333333333,3.4,1.13333333333333,5,1.66666666666667,1,41.3,I
"TMe-304","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,1,0.25,1.2,0.3,2.2,0.55,1,39.7,III
"TMe-305","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Dark green","Dark green","5","Long (25-30cm)","Short","Absent","Irregular",17,5.66666666666667,1.2,0.4,5.4,1.8,6.6,2.2,2,44.3,V
"TMe-307","Purple","Long","Green purple","Top part","50-75% leaf retention","3","White","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",17,4.25,3,0.75,7,1.75,10,2.5,2,34.4,V
"TMe-314","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","White","1","150-300","Green purple","Green purple","2","Long (25-30cm)","Short","Absent","Irregular",4,2,2.8,1.4,4.8,2.4,7.6,3.8,0,39.8,IV
"TMe-315","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","White","0","No branching","Purple","Dark green","2","Medium (15-20cm)","Absent","Present","Irregular",4,4,1.6,1.6,3.6,3.6,5.2,5.2,0,41.4,VI
"TMe-318","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","150-300","Purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",11,3.66666666666667,1.8,0.6,3.2,1.06666666666667,5,1.66666666666667,1,39.9,IV
"TMe-321","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","450-600","Green purple","Dark green","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",5,5,1.8,1.8,2.6,2.6,4.4,4.4,0,42.6,VI
"TMe-332","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",24,6,5.2,1.3,9.2,2.3,14.4,3.6,3,41.9,V
"TMe-334","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","1","750-900","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Irregular",26,5.2,7,1.4,12,2.4,19,3.8,1,38.8,V
"TMe-336","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",10,2.5,10,2.5,9.2,2.3,19.2,4.8,1,41.9,V
"TMe-339","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","0","No branching","Dark green","Dark green","5","Long (25-30cm)","Short","Present","Tending toward horizontal",24,6,5,1.25,6,1.5,11,2.75,0,44.9,II
"TMe-340","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",24,4.8,11,2.2,10.4,2.08,21.4,4.28,5,42.8,V
"TMe-347","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","White","2","450-600","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,2.33333333333333,4,1.33333333333333,6.2,2.06666666666667,10.2,3.4,0,31.8,V
"TMe-352","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","2","450-600","Light green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",4,4,1,1,1.4,1.4,2.4,2.4,2,37,IV
"TMe-353","Green purple","Medium","Purple","Totally pigmented","<100% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",20,5,5,1.25,16,4,21,5.25,3,37.9,IV
"TMe-359","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",21,5.25,12,3,12.2,3.05,24.2,6.05,4,40.7,V
"TMe-360","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",24,6,11,2.75,12,3,23,5.75,5,38.9,V
"TMe-361","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Green purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",19,9.5,7,3.5,8.2,4.1,15.2,7.6,6,40.9,VI
"TMe-362","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","5","450-600","Purple","Dark green","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",25,6.25,13,3.25,15,3.75,28,7,2,29,V
"TMe-363","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",15,5,12.4,4.13333333333333,13.2,4.4,25.6,8.53333333333333,0,36.2,V
"TMe-365","Dark green","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Dark green","Dark green","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",2,1,0.4,0.2,0.6,0.3,1,0.5,0,38.1,II
"TMe-368","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","3","450-600","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",10,2.5,5,1.25,8,2,13,3.25,0,40.1,IV
