"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-3219","Purple","Long","Green purple","Top part","25-50% leaf retention","3","White","3","150-300","Green purple","Light green","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",6,6,3.4,3.4,4,4,7.4,7.4,2,33.4,I
"TMe-3231","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",9,2.25,6,1.5,3.6,0.9,9.6,2.4,3,38.9,IV
"TMe-3233","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","150-300","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,3,1,1,3.2,3.2,4.2,4.2,0,40.1,IV
"TMe-3234","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Green purple","Purple","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",3,1.5,1,0.5,1.6,0.8,2.6,1.3,0,40.2,III
"TMe-3238","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","White","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Long","Present","Tending toward horizontal",9,3,4,1.33333333333333,4.8,1.6,8.8,2.93333333333333,2,38.2,IV
"TMe-3239","Dark green","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",8,2,7.2,1.8,4.4,1.1,11.6,2.9,5,37.6,II
"TMe-3240","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","3","150-300","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",5,5,1.4,1.4,3.2,3.2,4.6,4.6,0,39,IV
"TMe-3243","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",11,2.75,12.2,3.05,5.4,1.35,17.6,4.4,4,38.1,IV
"TMe-3248","Dark green","Short","Purple","Totally pigmented","50-75% leaf retention","0","Cream","2","150-300","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,3,1,1,1.6,1.6,2.6,2.6,0,37.4,IV
"TMe-3255","Dark green","Long","Purple","Totally pigmented","<100% leaf retention","5","Cream","3","150-300","Green purple","Green purple","3","Long (25-30cm)","Long","Absent","Tending toward horizontal",3,0.75,15.2,3.8,0.6,0.15,15.8,3.95,1,38.8,IV
"TMe-3256","Green purple","Short","Purple","Totally pigmented","50-75% leaf retention","0","White","1","150-300","Green purple","Green purple","1","Medium (15-20cm)","Long","Absent","Tending toward horizontal",4,4,1.2,1.2,0.6,0.6,1.8,1.8,0,39.5,IV
"TMe-3257","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Green purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,1.5,4,2,2.4,1.2,6.4,3.2,0,43.2,IV
"TMe-3259","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","2","150-300","Green purple","Green purple","4","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",11,2.75,0.8,0.2,5.2,1.3,6,1.5,0,40.6,IV
"TMe-3261","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","2","150-300","Dark green","Light green","3","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",2,2,1.8,1.8,2.6,2.6,4.4,4.4,1,37,I
"TMe-3262","Dark green","Medium","Green purple","Central part","25-50% leaf retention","4","Cream","3","150-300","Green purple","Green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",4,2,1,0.5,3.6,1.8,4.6,2.3,0,42.9,I
"TMe-3268","Dark green","Long","Green purple","Central part","25-50% leaf retention","2","White","3","450-600","Dark green","Green purple","3","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",8,2.66666666666667,4.8,1.6,7.4,2.46666666666667,12.2,4.06666666666667,0,41.7,I
"TMe-3272","Dark green","Medium","Dark green","Absent","50-75% leaf retention","3","Cream","3","150-300","Dark green","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",3,3,7.4,7.4,2.4,2.4,9.8,9.8,0,38.1,I
"TMe-3273","Dark green","Long","Red","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Dark green","Light green","2","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",2,2,1,1,0.2,0.2,1.2,1.2,0,33.8,IV
"TMe-3275","Dark green","Short","Red","Totally pigmented","25-50% leaf retention","0","White","3","150-300","Green purple","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",5,1.66666666666667,8.2,2.73333333333333,0.8,0.266666666666667,9,3,0,32.6,IV
"TMe-3283","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","3","150-300","Purple","Green purple","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",4,2,6.2,3.1,1.8,0.9,8,4,0,38,IV
"TMe-3287","Purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Purple","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",19,6.33333333333333,4.2,1.4,5,1.66666666666667,9.2,3.06666666666667,0,46.2,III
"TMe-3291","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","3","White","3","150-300","Dark green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",4,2,4,2,0.8,0.4,4.8,2.4,2,40.6,IV
"TMe-3299","Purple","Medium","Purple","Totally pigmented","<25% leaf retention","0","White","0","No branching","Green purple","Green purple","2","Medium (15-20cm)","Absent","Absent","Irregular",2,0.666666666666667,1,0.333333333333333,0.2,0.0666666666666667,1.2,0.4,1,35.8,III
"TMe-3302","Green purple","Short","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",4,4,1.8,1.8,0.4,0.4,2.2,2.2,0,30.4,III
"TMe-3330","Green purple","Long","Dark green","Absent","25-50% leaf retention","3","Cream","3","150-300","Green purple","Dark green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",7,7,4.2,4.2,4.6,4.6,8.8,8.8,2,35.4,I
"TMe-3345","Green purple","Medium","Green purple","Central part","<25% leaf retention","2","White","3","150-300","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",5,5,0.8,0.8,1.2,1.2,2,2,1,18.4,I
"TMe-3346","Green purple","Short","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",5,1.66666666666667,0.4,0.133333333333333,0.4,0.133333333333333,0.8,0.266666666666667,0,41.1,III
"TMe-3353","Light green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","2","150-300","Dark green","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",3,3,5,5,0.6,0.6,5.6,5.6,1,0.5,I
"TMe-3357","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","150-300","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",2,2,0.4,0.4,0.6,0.6,1,1,1,34.2,IV
"TMe-3362","Purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",3,3,0.8,0.8,0.6,0.6,1.4,1.4,0,34.2,III
"TMe-3368","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","3","450-600","Dark green","Dark green","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",18,6,3.4,1.13333333333333,3.2,1.06666666666667,6.6,2.2,11,36.2,VI
"TMe-3376","Purple","Short","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",5,1.66666666666667,2,0.666666666666667,5.2,1.73333333333333,7.2,2.4,2,41.5,III
"TMe-3382","Dark green","Short","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,0.4,0.4,0.2,0.2,0.6,0.6,0,41.6,III
"TMe-3401","Light green","Short","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",2,1,0.4,0.2,0.4,0.2,0.8,0.4,1,31.6,II
"TMe-3428","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward vertical",1,0.5,0.4,0.2,1.5,0.75,1.9,0.95,0,45.2,IV
"TMe-3435","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","2","450-600","Green purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",3,0.75,1.4,0.35,0.2,0.05,1.6,0.4,2,41.4,IV
"TMe-3440","Light green","Long","Purple","Totally pigmented","50-75% leaf retention","1","White","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",9,4.5,3,1.5,0.4,0.2,3.4,1.7,8,41.4,IV
"TMe-3447","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Green purple","Light green","3","Long (25-30cm)","Intermediate","Present","Irregular",25,6.25,8.5,2.125,5.2,1.3,13.7,3.425,1,42.2,II
"TMe-3452","Green purple","Short","Green purple","Central part","50-75% leaf retention","4","White","5","450-600","Green purple","Green purple","3","Long (25-30cm)","Intermediate","Absent","Irregular",5,2.5,3,1.5,0.8,0.4,3.8,1.9,0,34.4,I
"TMe-3455","Purple","Long","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",3,1.5,2,1,0.4,0.2,2.4,1.2,2,36.2,II
"TMe-3458","Light green","Short","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",7,2.33333333333333,2.4,0.8,2,0.666666666666667,4.4,1.46666666666667,7,36.2,III
"TMe-3459","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","3","150-300","Dark green","Green purple","1","Long (25-30cm)","Short","Present","Tending toward horizontal",7,7,1.8,1.8,2,2,3.8,3.8,3,35.9,IV
"TMe-3465","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","White","2","150-300","Green purple","Light green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,1.2,1.2,0.8,0.8,2,2,0,29.5,I
"TMe-3466","Dark green","Short","Dark green","Absent","25-50% leaf retention","2","White","0","No branching","Green purple","Light green","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",4,2,1.3,0.65,0.9,0.45,2.2,1.1,0,38.5,II
"TMe-3467","Dark green","Short","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,0.6,0.6,0.4,0.4,1,1,0,40.6,II
"TMe-3477","Green purple","Short","Green purple","Central part","50-75% leaf retention","2","White","3","150-300","Green purple","Green purple","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",14,4.66666666666667,6,2,5,1.66666666666667,11,3.66666666666667,8,38.6,I
"TMe-3479","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Irregular",15,3,5,1,3,0.6,8,1.6,9,42,I
"TMe-3481","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Yellow","2","150-300","Dark green","Light green","1","Medium (15-20cm)","Short","Present","Tending toward horizontal",3,3,3.2,3.2,2.8,2.8,6,6,0,30.9,I
"TMe-3490","Green purple","Short","Green purple","Central part","25-50% leaf retention","4","White","3","150-300","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",9,3,5,1.66666666666667,1,0.333333333333333,6,2,4,39,I
"TMe-3540","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",8,2.66666666666667,2,0.666666666666667,5.2,1.73333333333333,7.2,2.4,5,36.3,II
"TMe-3545","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","2","150-300","Purple","Purple","5","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",5,5,6,6,4,4,10,10,1,39.4,IV
"TMe-3557","Dark green","Long","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",2,2,0.4,0.4,0.4,0.4,0.8,0.8,0,43.5,II
"TMe-3576","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Green purple","Purple","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",14,2.8,2,0.4,3,0.6,5,1,3,38.2,IV
"TMe-3592","Dark green","Short","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",2,1,1.2,0.6,1,0.5,2.2,1.1,0,35,III
"TMe-3605","Green purple","Short","Green purple","Central part","<25% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",1,1,6,6,22,22,28,28,0,40.2,II
"TMe-3606","Light green","Long","Purple","Totally pigmented","50-75% leaf retention","0","White","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",9,4.5,5,2.5,8,4,13,6.5,1,41.8,IV
"TMe-3625","Purple","Long","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Dark green","Light green","1","Medium (15-20cm)","Long","Present","Tending toward horizontal",2,2,2.2,2.2,2,2,4.2,4.2,0,33.4,I
"TMe-3633","Light green","Long","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Dark green","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",6,6,6.2,6.2,6.8,6.8,13,13,2,39.6,I
"TMe-3641","Purple","Long","Green purple","Top part","50-75% leaf retention","4","White","3","150-300","Green purple","Light green","5","Long (25-30cm)","Short","Present","Irregular",23,4.6,24.6,4.92,15.6,3.12,40.2,8.04,5,35.3,I
"TMe-3642","Green purple","Long","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,1.66666666666667,1,0.333333333333333,2,0.666666666666667,3,1,3,37.7,II
"TMe-3644","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",11,3.66666666666667,2.4,0.8,3,1,5.4,1.8,5,34,III
"TMe-3663","Purple","Short","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Green purple","Purple","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",5,1.25,1.4,0.35,3,0.75,4.4,1.1,1,36.9,III
"TMe-3679","Purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",1,1,0.6,0.6,1,1,1.6,1.6,0,39.9,III
"TMe-3731","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",10,2.5,3,0.75,3,0.75,6,1.5,3,36,III
"TMe-3750","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",10,3.33333333333333,5,1.66666666666667,5,1.66666666666667,10,3.33333333333333,0,39.4,III
"TMe-3752","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Irregular",17,5.66666666666667,12.3,4.1,11.4,3.8,23.7,7.9,3,38.2,IV
"TMe-3758","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Long","Absent","Irregular",4,4,2,2,1.2,1.2,3.2,3.2,0,36.7,IV
"TMe-3766","Dark green","Medium","Light green","Absent","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",2,1,1.2,0.6,2,1,3.2,1.6,0,38.7,II
"TMe-3773","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","1","White","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",17,4.25,11,2.75,21.2,5.3,32.2,8.05,0,37.1,IV
"TMe-3779","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",19,4.75,11,2.75,10,2.5,21,5.25,0,38.1,IV
"TMe-3781","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","1","White","2","150-300","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",13,3.25,12,3,11.3,2.825,23.3,5.825,5,42.9,IV
"TMe-3796","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",7,7,2,2,2,2,4,4,2,36,III
"TMe-3804","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","White","0","No branching","Purple","Purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",19,6.33333333333333,2.4,0.8,0.2,0.0666666666666667,2.6,0.866666666666667,0,30.8,III
"TMe-5","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","1","450-600","Dark green","Green purple","4","Short (5-10cm)","Intermediate","Present","Tending toward horizontal",5,1.66666666666667,1.4,0.466666666666667,0.6,0.2,2,0.666666666666667,4,43.2,IV
"TMe-7","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","150-300","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",10,2.5,2.6,0.65,0.2,0.05,2.8,0.7,10,33.1,IV
"TMe-10","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",16,4,4.6,1.15,7,1.75,11.6,2.9,0,36.8,III
"TMe-18","Light green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","White","2","150-300","Dark green","Green purple","4","Long (25-30cm)","Short","Present","Tending toward horizontal",10,2.5,10.2,2.55,8,2,18.2,4.55,1,33.6,IV
"TMe-23","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",4,1.33333333333333,1.2,0.4,0.2,0.0666666666666667,1.4,0.466666666666667,2,45,III
"TMe-24","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","White","3","150-300","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",15,3,12.4,2.48,1.4,0.28,13.8,2.76,5,45,IV
"TMe-25","Light green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","2","150-300","Dark green","Green purple","3","Medium (15-20cm)","Long","Absent","Tending toward horizontal",9,4.5,3.2,1.6,0.4,0.2,3.6,1.8,5,39.2,IV
"TMe-27","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Green purple","Purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",11,2.75,22.6,5.65,16.6,4.15,39.2,9.8,1,35.7,IV
"TMe-28","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","2","150-300","Dark green","Green purple","3","Long (25-30cm)","Long","Absent","Tending toward horizontal",11,3.66666666666667,9.8,3.26666666666667,5.6,1.86666666666667,15.4,5.13333333333333,2,36.9,I
"TMe-30","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","2","150-300","Green purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",13,4.33333333333333,3.8,1.26666666666667,0.2,0.0666666666666667,4,1.33333333333333,6,43.6,IV
"TMe-34","Light green","Long","Purple","Totally pigmented","25-50% leaf retention","1","White","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Irregular",2,1,2.4,1.2,2,1,4.4,2.2,1,36.7,IV
"TMe-35","Light green","Short","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Light green","Green purple","1","Long (25-30cm)","Short","Absent","Tending toward vertical",2,1,0.4,0.2,0.2,0.1,0.6,0.3,1,33.3,III
"TMe-38","Light green","Short","Purple","Totally pigmented","50-75% leaf retention","1","Cream","1","450-600","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Irregular",8,4,1.8,0.9,0.6,0.3,2.4,1.2,1,41.4,IV
"TMe-40","Light green","Long","Green purple","Central part","50-75% leaf retention","1","Cream","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",12,6,2.6,1.3,2.8,1.4,5.4,2.7,2,46,II
"TMe-43","Light green","Short","Purple","Totally pigmented","25-50% leaf retention","1","White","2","150-300","Dark green","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,4,3.2,1.6,0.6,0.3,3.8,1.9,3,39,IV
"TMe-47","Dark green","Medium","Green purple","Central part","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",21,4.2,23.6,4.72,7.6,1.52,31.2,6.24,2,30.4,II
"TMe-53","Purple","Short","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Green purple","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",6,2,2.6,0.866666666666667,2.8,0.933333333333333,5.4,1.8,0,36,II
"TMe-54","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","2","450-600","Dark green","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",6,3,2,1,0.8,0.4,2.8,1.4,3,41.2,IV
"TMe-59","Dark green","Short","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Irregular",4,2,1.6,0.8,1,0.5,2.6,1.3,1,39.9,II
"TMe-63","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","3","150-300","Dark green","Green purple","5","Medium (15-20cm)","Long","Present","Tending toward horizontal",11,5.5,7,3.5,1.4,0.7,8.4,4.2,4,40,IV
"TMe-65","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Dark green","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",8,4,2.8,1.4,0.2,0.1,3,1.5,1,39.5,IV
"TMe-66","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Short","Absent","Tending toward horizontal",16,5.33333333333333,13.4,4.46666666666667,11.8,3.93333333333333,25.2,8.4,3,29.8,IV
"TMe-67","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","3","White","3","150-300","Dark green","Green purple","3","Medium (15-20cm)","Intermediate","Present","Irregular",5,2.5,1.6,0.8,0.4,0.2,2,1,2,41.1,IV
"TMe-70","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","0","No branching","Dark green","Green purple","5","Medium (15-20cm)","Long","Present","Tending toward horizontal",8,1.6,1.4,0.28,0.2,0.04,1.6,0.32,3,36.8,III
"TMe-72","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Green","Green purple","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,2.66666666666667,2.8,0.933333333333333,1.8,0.6,4.6,1.53333333333333,1,38.4,IV
"TMe-74","Dark green","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Light green","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,2.5,0.8,0.4,0.8,0.4,1.6,0.8,3,32.2,II
"TMe-78","Dark green","Short","Purple","Totally pigmented","50-75% leaf retention","1","Cream","2","450-600","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",5,1,1.4,0.28,1.4,0.28,2.8,0.56,0,43.4,IV
"TMe-81","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",7,2.33333333333333,1.6,0.533333333333333,1.8,0.6,3.4,1.13333333333333,1,41.2,IV
"TMe-82","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","3","White","3","450-600","Dark green","Green purple","4","Long (25-30cm)","Long","Absent","Tending toward horizontal",8,2,5,1.25,2,0.5,7,1.75,4,40.9,IV
"TMe-86","Dark green","Short","Purple","Totally pigmented","<100% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",1,0.5,0.2,0.1,0.6,0.3,0.8,0.4,0,28.7,II
"TMe-87","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","450-600","Dark green","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",8,2,3.6,0.9,1.2,0.3,4.8,1.2,4,37.8,IV
"TMe-93","Dark green","Short","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",2,2,0.2,0.2,0.2,0.2,0.4,0.4,1,42.5,III
"TMe-116","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","0","No branching","Green","Green purple","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,2,3.8,0.95,1,0.25,4.8,1.2,3,42.6,III
"TMe-137","Purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Short","Present","Irregular",22,4.4,4.6,0.92,7,1.4,11.6,2.32,3,35.5,V
"TMe-142","Green purple","Long","Green purple","Top part","25-50% leaf retention","4","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",24,6,4.8,1.2,11,2.75,15.8,3.95,2,38.4,V
"TMe-153","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",19,6.33333333333333,3,1,5.4,1.8,8.4,2.8,7,36.6,IV
"TMe-162","Purple","Long","Green purple","Central part","25-50% leaf retention","4","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Intermediate","Present","Irregular",10,2.5,3.2,0.8,6.4,1.6,9.6,2.4,1,37.5,V
"TMe-168","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",10,5,3.2,1.6,5,2.5,8.2,4.1,2,39.4,V
